id,label,smiles,ExactMolWt,LogP,NumHDonors,NumHAcceptors,CarbonosNum,AromaticRingsNum,MeltingPoint,NumAtoms,Connectivity,Valency
85766188,1,CCCCCCCCC1CS1=O,188.33599999999998,2.8679000000000014,0,1,12,0,54.79040000000005,12,1.0,72
16219992,1,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O.C=O.C(CO)O,298.423,2.892100000000002,3,4,21,1,86.49740000000004,21,0.5882352941176471,122
138628390,1,CCCCCCOC(C)(C1=CC=[N+](C=C1)CCCS(=O)(=O)[O-])OCCCCCC,429.6230000000003,4.2759000000000045,0,5,29,1,113.3582000000001,29,0.7727272727272727,168
71308589,1,CCCCCCCCC=CCCCCCCCC(=O)O.CCCCCCCCC=CCCCCCCCC(=O)O.CCCCCCCCC=CCCCCCCCC(=O)O.C1C(C(C(O1)C(CO)O)O)O.C1C(C(C(O1)C(CO)O)O)O,1175.718,13.245899999999976,11,13,82,0,330.95580000000007,82,0.8636363636363636,486
124202745,1,CCCCCCCCCCOS(=O)(=O)O.[Na],261.339,2.5657000000000005,1,3,16,0,65.86460000000005,16,1.0,93
21119785,1,C[N+](C)(CCCNS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CC(=O)O.[OH-],588.3829999999999,3.4090000000000016,2,4,36,0,93.22750000000002,36,0.9333333333333333,218
71454399,1,CCC(C)C(C(=O)NCC(=O)NC(CC(C)C)C(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(C(C)CC)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCCN)NC(=O)C(CC(C)C)NC(=O)C(CC1=CNC=N1)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC3=CC=CC=C3)NC(=O)C(CC4=CC=CC=C4)NC(=O)C5CCCN5C(=O)C(C(C)CC)NC(=O)CN,3618.7269999999867,3.9358700000000066,38,38,257,3,975.161800000006,257,0.7252747252747253,1448
156859,1,CCCCCCCCCCOC(=O)C[N+](C)(C)CCSCC[N+](C)(C)CC(=O)OCCCCCCCCCC.[Cl-].[Cl-],645.8630000000002,1.248200000000007,0,5,41,0,168.1477999999996,41,0.9375,248
8141,1,CCCCCCCCC,128.259,3.7569000000000026,0,0,9,0,43.667000000000016,9,1.0,56
9920342,1,CCCCCCCCC=CCCCCCCCC(=O)OCC(C1C(C(CO1)O)O)O,428.61000000000007,4.048600000000005,3,6,30,0,118.17140000000009,30,0.875,176
87268923,1,CC(C)CC(C)CC(CC(C)C)OCCOCCOCCO,318.49800000000005,3.5155000000000025,1,4,22,0,91.15480000000008,22,1.0,134
138059641,1,CC(C)CCCCCCCCCC1=CC(=C(C=C1)OC2=CC=CC=C2OS(=O)(=O)[O-])OS(=O)(=O)[O-].[Na+].[Na+],574.6250000000002,-0.5157999999999945,0,9,37,2,129.08640000000005,37,0.5,196
5590,1,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO,250.38199999999998,3.7715000000000027,1,2,18,1,76.12080000000006,18,0.625,102
7371,1,C1=CC=C(C=C1)S(=O)(=O)O,158.17799999999997,0.9333,1,2,10,1,36.256600000000006,10,0.0,54
8177,1,CCCCOCCOCCO,162.22899999999998,0.812,1,3,11,0,43.63180000000001,11,1.0,68
8430,1,CCCCCCCCCCCC(=O)N(CCO)CCO,287.444,2.720500000000001,2,3,20,0,82.59560000000005,20,0.9375,120
14249,1,CCCCCCCCCCCC[N+](C)(C)C.[Br-],308.34799999999996,1.6175000000000002,0,0,17,0,74.74340000000008,17,1.0,106
18739,1,CCCCCCCCCCCCCC[N+](C)(C)[O-],257.46199999999993,5.261700000000005,0,1,18,0,81.42040000000007,18,1.0,110
23939,1,[Pt],195.078,-0.0025,0,0,1,0,0.0,1,0.0,10
31204,1,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],424.15700000000004,5.5285000000000055,0,0,29,1,126.6674000000001,29,0.7777777777777778,170
61018,1,CC(C)CC(C)(C#C)O,126.19899999999997,1.4166999999999998,1,1,9,0,38.9118,9,0.75,52
72949,1,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],439.12800000000016,3.474400000000002,1,1,30,1,125.82610000000008,30,0.7307692307692307,174
85742,1,CCCCCCCCCCCCCCCCCCNC(=O)CC(C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],493.6180000000001,-2.5740999999999925,1,6,32,0,115.66490000000009,32,0.9090909090909091,178
656641,1,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,582.8160000000005,4.049000000000006,1,10,40,0,156.30079999999978,40,1.0,242
